大正新脩大藏經第 54 冊 No. 2135 梵語雜名


　　No. 2135

梵語雜名

　　翻經大德兼翰林待詔光定寺歸茲國沙門　禮言集

　　睿山沙門　真源較

　　有情身分

　　天　泥𭌯又素羅　deva蒪sura
　　喜　那史吒(二合)　naṣṭa

　　愧　末毘也曩　mavyana

　　吉　戍麼　śuma

　　凶　戍婆　śubha

　　悲　跛哩泥嚩　pṛdeva

　　惱　儞尾[(薩-文+(立-一))/木]曩　nivigana

　　哀　嚕娜曩　rudana

　　賭　瑟室也　

　　苦　努企哆　dukhita

　　樂　蘇吉施羅　sukhiśra

　　憂　戍迦　śuka

　　嗔　迦史吒　kaṣṭa

　　怒　計陀　kedha

　　不善　阿迦里也曩又阿娑度　akaryanaasadhu

　　善　迦里也　karya

　　好　主乞史　cukṣi

　　玅　曼乳　maṃju

　　惡　尾嚕又怒瑟吒　viru蒪duṣṭa

　　是　戶底又婆縛底又翳嚩　huti蒪bhavati蒪eva

　　不是　那戶底　nahuti

　　命　喏嚩　jva

　　解脫　木底　mukti

　　暴惡　鉢囉戰拏　pracaṇḍa

　　福　補哦曳　pūṇye

　　禍　比怛囉　pitra

　　如此　翳舍　eśa

　　不如此　那翳舍　naeśa

　　願　嚩囉又鉢羅抳　vara蒪praṇi

　　得　鉢囉鉢底　prapati

　　不得　阿鉢羅鉢底　aprapati

　　慳　母履衍　murye

　　欲　剌者　raca

　　須　鉢囉(二合)庾(引)惹那　prayojana

　　聰明　波尼多　paṇita

　　必　阿嚩羅悉也　avarasya

　　睡　捨以哆　śayita

　　患　羅婆史吒(二合)　rabhaṣṭa

　　畏　婆野又嚩地也　bhaya蒪vadhya

　　驚　那羅(二合)娑　nrasa

　　和合　尾也密室羅　vyamiśra

　　唯獨　迦縛里衍　kavaliyaṃ

　　罪　播半憍末陀　pāpakaumardha

　　姪　梅土曩　maiṇḍana

　　勤　尾唎也　virya

　　[口*娕*頁]　阿(引)攞娑也　ālasya

　　法　達麼　dharmma

　　恩　烏跛迦　upaka

　　活　爾嚩　jva

　　毒　尾沙　viṣa

　　業　羯麼　karmma

　　作　羯𭋱曩　karena

　　何作　計羯𭋱　kekare

　　所作事　羯唎尼也　kariṇya

　　傳　散泥捨　saṃdeśa

　　矝　迦嚕抳也(亦悲也)　karuṇya

　　愛　鉢也　pṛya

　　事　迦他　katha

　　真　娑怛哩　satri

　　妄　沒哩沙　mṛṣa

　　有　阿悉底　asti

　　無　那(引)悉地　nāsti

　　常　儞怛也　ditya

　　無常　阿儞怛也　aditya

　　盡　訖沙也　kṣaya

　　無著　曩攞日喏　nalajñā

　　無耻　悉瑟吒播　siṣṭapa

　　無慚　阿紇里　ahrī

　　無愧　阿努波耶　anupya

　　慢

　　撿挍　誐吠史　gaveṣi

　　求　麼誐　maga

　　我　麼麼　mama

